7zip 24.09-3.1
a52dec 0.8.0-2.1
aalib 1.4rc5-18.1
abseil-cpp 20250512.0-1.1
accounts-qml-module 0.7-6.1
accountsservice 23.13.9-2
acl 2.3.2-1.1
adobe-source-han-sans-cn-fonts 2.004-2
adobe-source-han-sans-jp-fonts 2.004-2
adobe-source-han-sans-kr-fonts 2.004-2
adwaita-cursors 48.0-1
adwaita-fonts 48.2-1
adwaita-icon-theme 48.0-1
adwaita-icon-theme-legacy 46.2-3
alembic 1.8.6-3.1
alsa-card-profiles 1:1.4.5-1.1
alsa-firmware 1.2.4-4
alsa-lib 1.2.14-1.1
alsa-plugins 1:1.2.12-4.1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1.1
amd-ucode 20250508.788aadc8-2
ananicy-cpp 1.1.1-7.1
aom 3.12.1-1.1
apache 2.4.63-3.1
appstream 1.0.5-2.1
appstream-glib 0.8.3-2.2
apr 1.7.6-1
apr-util 1.6.3-2.1
archlinux-keyring 20250430.1-2
at-spi2-core 2.56.2-1.1
attica 6.14.0-1.1
attr 2.5.2-1.1
audit 4.0.5-1.1
autoconf 2.72-1
automake 1.18-1
avahi 1:0.8+r194+g3f79789-3.1
awesome-terminal-fonts 1.1.0-5
babl 0.1.114-1.1
baobab 48.0-3.1
base 3-2
base-devel 1-2
bash 5.2.037-6
bash-completion 2.16.0-1
bat 0.25.0-4.1
bind 9.20.9-1.1
binutils 2.44+r94+gfe459e33c676-2
bison 3.8.2-8
blas 3.12.1-2.1
blender 17:4.4.3-2.1
blosc 1.21.6-1.1
blueprint-compiler 0.16.0-1
bluez 5.83-1.1
bluez-hid2hci 5.83-1.1
bluez-libs 5.83-1.1
bluez-utils 5.83-1.1
bolt 0.9.8-1.1
boost-libs 1.88.0-3.1
borg 1.4.1-1.1
botan2 2.19.5-2.2
bpf 6.14-2
breeze-icons 6.14.0-1.1
brltty 6.7-5.1
brotli 1.1.0-3.1
btop 1.4.3-3.1
btrfs-assistant 2.1.1-1
btrfs-progs 6.14-1
bubblewrap 0.11.0-1.1
bzip2 1.0.8-6.1
c-ares 1.34.5-1.1
ca-certificates 20240618-1
ca-certificates-mozilla 3.112-1.1
ca-certificates-utils 20240618-1
cabextract 1.11-2.1
cachyos-ananicy-rules 1:1.0.7-1
cachyos-fish-config 15-1
cachyos-gaming-applications 1.0.0-1
cachyos-gaming-meta 1:1.0.0-2
cachyos-hello 0.17.2-1
cachyos-hooks 2025.05.14-1
cachyos-kernel-manager 1.15.0-2
cachyos-keyring 20240331-1
cachyos-mirrorlist 22-1
cachyos-packageinstaller 1.4.0-1
cachyos-plymouth-bootanimation 2-1
cachyos-rate-mirrors 14-1
cachyos-settings 1:1.2.4-1
cachyos-v3-mirrorlist 22-1
cachyos-v4-mirrorlist 22-1
cachyos-wallpapers r17.022d739-1
cachyos-zsh-config 1.0.2-1
cairo 1.18.4-1.1
cairomm-1.16 1.18.0-1.1
cantarell-fonts 1:0.303.1-2
capstone 5.0.6-1.1
cblas 3.12.1-2.1
cdparanoia 10.2-9.1
cdrtools 3.02a09-6.1
cfitsio 1:4.6.2-1.1
chromaprint 1.5.1-10.1
chromium 137.0.7151.68-1
chwd 1.12.7-1
cider 3.0.0-1
cifs-utils 7.3-1.1
clang 19.1.7-3
colord 1.4.7-2
colord-gtk-common 0.3.1-1.1
colord-gtk4 0.3.1-1.1
colord-sane 1.4.7-2
compiler-rt 19.1.7-1.1
composefs 1.0.8-1.1
containerd 2.1.1-1.1
convertlit 1.8-12
coreutils 9.7-1
cpupower 6.14-2
cracklib 2.10.3-1.1
cryptsetup 2.7.5-2.1
cups 2:2.4.12-2
cups-filters 2.0.1-2.1
cups-pk-helper 0.2.7-2.2
curl 8.14.1-1
dav1d 1.5.1-1.1
db5.3 5.3.28-5
dbus 1.16.2-1.1
dbus-broker 36-4.1
dbus-broker-units 36-4.1
dbus-glib 0.114-1.1
dbus-units 36-4.1
dconf 0.40.0-3.1
dconf-editor 45.0.1-3.1
debugedit 5.1-1.1
decibels 48.0-1
default-cursors 3-1
deja-dup 48.1-1
desktop-file-utils 0.28-1.1
device-mapper 2.03.32-1.1
dhclient 4.4.3.P1-4.1
diffutils 3.12-2
ding-libs 0.6.2-2.1
djvulibre 3.5.28-6.1
dmidecode 3.6-1.3
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.91-1.1
dnssec-anchors 20250524-1
docker 1:28.2.0-1.1
docker-compose 2.37.0-1.1
dos2unix 7.5.2-2.14
dosfstools 4.2-5.1
dotconf 1.4.1-1.1
double-conversion 3.3.1-1.1
draco 1.5.6-3.1
dtc 1.7.2-4.1
duf 0.8.1-3.1
duktape 2.7.0-7.1
duplicity 3.0.4.1-1.1
e2fsprogs 1.47.2-2.1
ebook-tools 0.2.2-9.1
editorconfig-core-c 0.12.9-1.1
edk2-ovmf 202411-1
efibootmgr 18-3.1
efitools 1.9.2-5
efivar 39-1.1
egl-gbm 1.1.2.1-1.1
egl-wayland 4:1.1.19-1.1
egl-x11 1.0.2-1.1
eglexternalplatform 1.2.1-1
ell 0.77-1.1
embree 4.4.0-1.1
enchant 2.8.2-2.1
eog 47.0-1.1
epiphany 48.3-1.1
ethtool 1:6.11-1.1
evince 48.0-3
evolution-data-server 3.56.2-1
exempi 2.6.6-1.1
exfatprogs 1.2.9-1.1
exiv2 0.28.5-1.1
expac 10-11.2
expat 2.7.1-1.1
extension-manager 0.6.3-3
eza 0.21.4-1.1
f2fs-tools 1.16.0-3.1
faac 1.31.1-1.1
faad2 2.11.2-1.1
fakeroot 1.37.1.2-1.1
fastfetch 2.44.0-1.1
fd 10.2.0-1.1
ffmpeg 2:7.1.1-3.1
ffmpegthumbnailer 2.2.3-3.1
fftw 3.3.10-7.1
file 5.46-4.1
file-roller 44.5-1.1
filesystem 2025.05.03-1
findutils 4.10.0-2.1
fish 4.0.2-1.1
fish-autopair 1.0.4-2
fish-pure-prompt 4.11.0-1
fisher 4.4.5-1
flac 1.5.0-1.1
flatpak 1:1.16.1-1.1
flex 2.6.4-5.1
fluidsynth 2.4.6-1.1
fmt 11.2.0-1.1
folks 0.15.9-2.1
fontconfig 2:2.16.2-1.1
freeglut 3.6.0-2.1
freerdp 2:3.15.0-1.1
freetype2 2.13.3-3.1
frei0r-plugins 2.3.3-3.1
fribidi 1.0.16-2.1
fsarchiver 0.8.8-1.1
fuse-common 3.17.1-1.1
fuse3 3.17.1-1.1
fzf 0.62.0-1.1
gamescope 3.16.9-2
gawk 5.3.2-1.1
gc 8.2.8-2.1
gcc 15.1.1+r7+gf36ec88aa85a-2
gcc-libs 15.1.1+r7+gf36ec88aa85a-2
gcr 3.41.2-2.1
gcr-4 4.4.0.1-1.1
gd 2.3.3-8
gdbm 1.25-1.1
gdk-pixbuf2 2.42.12-2.1
gdm 48.0-2.1
gedit 48.2-1.1
gegl 0.4.62-1.1
geoclue 2.7.2-1.1
geocode-glib-2 3.26.4-4.2
geocode-glib-common 3.26.4-4.2
gettext 0.25-1.1
gfxstream 0.1.2-2.1
ghostscript 10.05.1-2.1
ghostty 1.1.3-1.1
ghostty-shell-integration 1.1.3-1.1
ghostty-terminfo 1.1.3-1.1
giflib 5.2.2-2.1
gimp 3.0.4-2.1
git 2.49.0-2.1
git-delta 0.18.2-4.1
github-cli 2.74.0-1.1
gjs 2:1.84.2-1.1
glances 4.3.1-1
glew 2.2.0-7.1
glew1.10 1.10.0-4.1
glfw 3.4-2.1
glib-networking 1:2.80.1-1.1
glib2 2.84.2-1.1
glibc 2.41+r48+g5cb575ca9a3d-2
glibmm-2.68 2.84.0-1.1
glm 1.0.1-1.1
glslang 1:1.4.313.0-1.1
glu 9.0.3-2.1
glycin 1.2.1-1.1
gmp 6.3.0-2.1
gnome-app-list 3.0-1
gnome-autoar 0.4.5-1.1
gnome-backgrounds 48.2.1-1
gnome-bluetooth-3.0 47.1-1.1
gnome-boxes 48.0-4.1
gnome-calculator 48.1-2.1
gnome-calendar 48.1-1.1
gnome-characters 48.0-1.1
gnome-clocks 48.0-1.1
gnome-color-manager 3.36.2-1.1
gnome-connections 48.0-6.1
gnome-console 48.0.1-1.1
gnome-contacts 48.0-1.1
gnome-control-center 48.2-1.1
gnome-desktop 1:44.3-1.1
gnome-desktop-4 1:44.3-1.1
gnome-desktop-common 1:44.3-1.1
gnome-disk-utility 46.1-2.1
gnome-font-viewer 48.0-1.1
gnome-keybindings 48.2-1.1
gnome-keyring 1:48.0-1.1
gnome-logs 45.0-2
gnome-maps 48.3-1.1
gnome-menus 3.36.0-3.1
gnome-mimeapps 0.1-1
gnome-music 1:48.0-1
gnome-nettool 42.0-3.1
gnome-online-accounts 3.54.3-1.1
gnome-power-manager 43.0-3.1
gnome-remote-desktop 48.1-1.1
gnome-screenshot 41.0+r39+ga362197-3.1
gnome-session 48.0-1.1
gnome-settings-daemon 48.1-1.1
gnome-shell 1:48.2-1.1
gnome-shell-extensions 48.2-1
gnome-software 48.2-1.1
gnome-system-monitor 48.1-1.1
gnome-text-editor 48.3-1.1
gnome-themes-extra 3.28+r6+g45b1d457-2.1
gnome-tour 48.1-1.1
gnome-tweaks 46.1-2
gnome-usage 46.1-3.1
gnome-user-docs 48.2-1
gnome-user-share 48.0-1.1
gnome-weather 48.0-2
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.7-3.1
gnutls 3.8.9-1.1
gobject-introspection-runtime 1.84.0-1.1
gom 0.5.3-2.2
goverlay 1.3_3-1.1
gperftools 2.16-1.1
gpgme 1.24.3-2.2
gpm 1.20.7.r38.ge82d1a6-6.1
graphene 1.10.8-2.1
graphite 1:1.3.14-4
grep 3.12-2.1
grilo 0.3.16-1.1
grilo-plugins 1:0.3.16+r46+gea3afa8c-2.1
groff 1.23.0-7.1
gsettings-desktop-schemas 48.0-1
gsettings-system-schemas 48.0-1
gsfonts 20200910-4
gsm 1.0.22-2.1
gsound 1.0.3-3.1
gspell 1.14.0-2.1
gssdp 1.6.3-2.1
gssproxy 0.9.2-1.1
gst-devtools-libs 1.26.2-1
gst-editing-services 1.26.2-1
gst-libav 1.26.2-1
gst-plugin-gtk 1.26.2-1
gst-plugin-gtk4 0.13.6-1
gst-plugin-pipewire 1:1.4.5-1.1
gst-plugin-va 1.26.2-1
gst-plugins-bad 1.26.2-1
gst-plugins-bad-libs 1.26.2-1
gst-plugins-base 1.26.2-1
gst-plugins-base-libs 1.26.2-1
gst-plugins-good 1.26.2-1
gst-plugins-ugly 1.26.2-1
gst-python 1.26.2-1
gstreamer 1.26.2-1
gtest 1.17.0-1.1
gtk-update-icon-cache 1:4.18.5-2.1
gtk-vnc 1.5.0-1.1
gtk2 2.24.33-5.1
gtk3 1:3.24.49-2.1
gtk4 1:4.18.5-2.1
gtkmm-4.0 4.18.0-2.1
gtksourceview4 4.8.4-2.1
gtksourceview5 5.16.0-2.1
guile 3.0.10-1.1
gupnp 1:1.6.8-2.1
gupnp-av 0.14.3-2.1
gupnp-dlna 0.12.0-4.1
gupnp-igd 1.6.0-2.1
gutenprint 5.3.5-1.1
gvfs 1.57.2-3
gvfs-afc 1.57.2-3
gvfs-dnssd 1.57.2-3
gvfs-goa 1.57.2-3
gvfs-google 1.57.2-3
gvfs-gphoto2 1.57.2-3
gvfs-mtp 1.57.2-3
